title,description,property_type,location,price_current,price_5_10_years_ago,legal_status,building_quality,previous_owners,furniture,area,frontage,road_width,bedrooms,bathrooms,toilets,stories,house_direction,balcony_direction,phone,email
"Bán Biệt thự diện tích 235m2 chính chủ, vị trí đẹp tại Quận Cầu Giấy, Hà Nội","Cần bán gấp Biệt thự, diện tích 235m2, mặt tiền 10.9m, đường vào rộng 11.3m. Nhà hướng Tây Bắc, ban công Tây. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Cần sửa chữa. Đầy đủ tiện ích xung quanh.",Biệt thự,"Quận Cầu Giấy, Hà Nội",10246000000.0,5376000000.0,Sổ đỏ/Sổ hồng,Cần sửa chữa,1,Nội thất cơ bản,235,10.9,11.3,3,3,3,1,Tây Bắc,Tây,0958489153,chubatdongsan11@gmail.com
"Bán Khu nghỉ dưỡng diện tích 252m2 chính chủ, vị trí đẹp tại Quận 1, TP.HCM","Cần bán gấp Khu nghỉ dưỡng, diện tích 252m2, mặt tiền 3.3m, đường vào rộng 8.5m. Nhà hướng Đông Bắc, ban công Đông Nam. Pháp lý: Đang chờ sổ, chất lượng Cần sửa chữa. Đầy đủ tiện ích xung quanh.",Khu nghỉ dưỡng,"Quận 1, TP.HCM",23561000000.0,14813000000.0,Đang chờ sổ,Cần sửa chữa,3,Nội thất cơ bản,252,3.3,8.5,5,2,2,3,Đông Bắc,Đông Nam,0995501350,chubatdongsan12@gmail.com
"Bán Khu nghỉ dưỡng diện tích 81m2 chính chủ, vị trí đẹp tại Quận 1, TP.HCM","Cần bán gấp Khu nghỉ dưỡng, diện tích 81m2, mặt tiền 5.7m, đường vào rộng 12.7m. Nhà hướng Đông Bắc, ban công Tây Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Khu nghỉ dưỡng,"Quận 1, TP.HCM",4368000000.0,2192000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),2,Không nội thất,81,5.7,12.7,5,4,4,3,Đông Bắc,Tây Bắc,0927866316,chubatdongsan13@gmail.com
"Bán Nhà riêng diện tích 173m2 chính chủ, vị trí đẹp tại Quận 7, TP.HCM","Cần bán gấp Nhà riêng, diện tích 173m2, mặt tiền 5.8m, đường vào rộng 4.9m. Nhà hướng Bắc, ban công Tây Nam. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Trung bình. Đầy đủ tiện ích xung quanh.",Nhà riêng,"Quận 7, TP.HCM",13341000000.0,8037000000.0,Sổ đỏ/Sổ hồng,Trung bình,2,Nội thất đầy đủ / Cao cấp,173,5.8,4.9,1,2,2,2,Bắc,Tây Nam,0916445860,chubatdongsan14@gmail.com
"Bán Nhà phố thương mại (Shophouse) diện tích 98m2 chính chủ, vị trí đẹp tại Quận Nam Từ Liêm, Hà Nội","Cần bán gấp Nhà phố thương mại (Shophouse), diện tích 98m2, mặt tiền 11.1m, đường vào rộng 9.0m. Nhà hướng Nam, ban công Nam. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Nhà phố thương mại (Shophouse),"Quận Nam Từ Liêm, Hà Nội",6614000000.0,3288000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),3,Không nội thất,98,11.1,9.0,3,4,4,2,Nam,Nam,0957332756,chubatdongsan15@gmail.com
"Bán Nhà mặt phố diện tích 128m2 chính chủ, vị trí đẹp tại Quận Đống Đa, Hà Nội","Cần bán gấp Nhà mặt phố, diện tích 128m2, mặt tiền 3.2m, đường vào rộng 19.4m. Nhà hướng Tây Nam, ban công Tây. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Nhà mặt phố,"Quận Đống Đa, Hà Nội",10905000000.0,6390000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),3,Nội thất cơ bản,128,3.2,19.4,3,2,2,1,Tây Nam,Tây,0981784059,chubatdongsan16@gmail.com
"Bán Chung cư mini diện tích 54m2 chính chủ, vị trí đẹp tại Quận Đống Đa, Hà Nội","Cần bán gấp Chung cư mini, diện tích 54m2, mặt tiền 4.2m, đường vào rộng 6.6m. Nhà hướng Nam, ban công Đông. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Trung bình. Đầy đủ tiện ích xung quanh.",Chung cư mini,"Quận Đống Đa, Hà Nội",3336000000.0,1803000000.0,Sổ đỏ/Sổ hồng,Trung bình,1,Nội thất cơ bản,54,4.2,6.6,5,3,3,3,Nam,Đông,0985240390,chubatdongsan17@gmail.com
"Bán Khu nghỉ dưỡng diện tích 82m2 chính chủ, vị trí đẹp tại Quận Đống Đa, Hà Nội","Cần bán gấp Khu nghỉ dưỡng, diện tích 82m2, mặt tiền 12.6m, đường vào rộng 13.8m. Nhà hướng Tây Bắc, ban công Đông Bắc. Pháp lý: Đang chờ sổ, chất lượng Cần sửa chữa. Đầy đủ tiện ích xung quanh.",Khu nghỉ dưỡng,"Quận Đống Đa, Hà Nội",8017000000.0,4923000000.0,Đang chờ sổ,Cần sửa chữa,3,Nội thất cơ bản,82,12.6,13.8,4,3,3,1,Tây Bắc,Đông Bắc,0977493767,chubatdongsan18@gmail.com
"Bán Nhà phố thương mại (Shophouse) diện tích 180m2 chính chủ, vị trí đẹp tại Quận Cầu Giấy, Hà Nội","Cần bán gấp Nhà phố thương mại (Shophouse), diện tích 180m2, mặt tiền 5.1m, đường vào rộng 7.9m. Nhà hướng Đông Nam, ban công Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Nhà phố thương mại (Shophouse),"Quận Cầu Giấy, Hà Nội",19448000000.0,10108000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),3,Nội thất cơ bản,180,5.1,7.9,1,1,1,4,Đông Nam,Bắc,0972789860,chubatdongsan19@gmail.com
"Bán Chung cư mini diện tích 173m2 chính chủ, vị trí đẹp tại Quận 1, TP.HCM","Cần bán gấp Chung cư mini, diện tích 173m2, mặt tiền 10.8m, đường vào rộng 15.9m. Nhà hướng Bắc, ban công Tây Bắc. Pháp lý: Đang chờ sổ, chất lượng Trung bình. Đầy đủ tiện ích xung quanh.",Chung cư mini,"Quận 1, TP.HCM",9381000000.0,5522000000.0,Đang chờ sổ,Trung bình,3,Không nội thất,173,10.8,15.9,5,1,1,1,Bắc,Tây Bắc,0969501864,chubatdongsan20@gmail.com
"Bán Nhà mặt phố diện tích 86m2 chính chủ, vị trí đẹp tại Quận Nam Từ Liêm, Hà Nội","Cần bán gấp Nhà mặt phố, diện tích 86m2, mặt tiền 5.9m, đường vào rộng 4.4m. Nhà hướng Bắc, ban công Tây Nam. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Nhà mặt phố,"Quận Nam Từ Liêm, Hà Nội",5158000000.0,2683000000.0,Sổ đỏ/Sổ hồng,Mới xây,1,Nội thất cơ bản,86,5.9,4.4,2,4,4,5,Bắc,Tây Nam,0995654487,chubatdongsan21@gmail.com
"Bán Căn hộ chung cư diện tích 68m2 chính chủ, vị trí đẹp tại Quận Cầu Giấy, Hà Nội","Cần bán gấp Căn hộ chung cư, diện tích 68m2, mặt tiền 4.2m, đường vào rộng 19.5m. Nhà hướng Bắc, ban công Đông Nam. Pháp lý: Đang chờ sổ, chất lượng Cần sửa chữa. Đầy đủ tiện ích xung quanh.",Căn hộ chung cư,"Quận Cầu Giấy, Hà Nội",3712000000.0,2232000000.0,Đang chờ sổ,Cần sửa chữa,1,Nội thất cơ bản,68,4.2,19.5,2,3,3,1,Bắc,Đông Nam,0968437573,chubatdongsan22@gmail.com
"Bán Xưởng diện tích 138m2 chính chủ, vị trí đẹp tại TP. Bắc Ninh","Cần bán gấp Xưởng, diện tích 138m2, mặt tiền 5.9m, đường vào rộng 10.2m. Nhà hướng Tây Bắc, ban công Đông Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Xưởng,TP. Bắc Ninh,16203000000.0,10184000000.0,Sổ đỏ/Sổ hồng,Mới xây,2,Nội thất đầy đủ / Cao cấp,138,5.9,10.2,1,2,2,5,Tây Bắc,Đông Bắc,0949076412,chubatdongsan23@gmail.com
"Bán Nhà phố thương mại (Shophouse) diện tích 210m2 chính chủ, vị trí đẹp tại Quận 1, TP.HCM","Cần bán gấp Nhà phố thương mại (Shophouse), diện tích 210m2, mặt tiền 11.7m, đường vào rộng 6.2m. Nhà hướng Nam, ban công Nam. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Nhà phố thương mại (Shophouse),"Quận 1, TP.HCM",18274000000.0,9165000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),1,Nội thất đầy đủ / Cao cấp,210,11.7,6.2,4,2,2,5,Nam,Nam,0917249433,chubatdongsan24@gmail.com
"Bán Kho diện tích 71m2 chính chủ, vị trí đẹp tại Quận 1, TP.HCM","Cần bán gấp Kho, diện tích 71m2, mặt tiền 13.3m, đường vào rộng 3.3m. Nhà hướng Đông Nam, ban công Tây Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Kho,"Quận 1, TP.HCM",6494000000.0,4074000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),2,Nội thất đầy đủ / Cao cấp,71,13.3,3.3,5,2,2,5,Đông Nam,Tây Bắc,0965457350,chubatdongsan25@gmail.com
"Bán Căn hộ chung cư diện tích 215m2 chính chủ, vị trí đẹp tại Thành phố Thủ Đức, TP.HCM","Cần bán gấp Căn hộ chung cư, diện tích 215m2, mặt tiền 13.0m, đường vào rộng 5.1m. Nhà hướng Bắc, ban công Tây Nam. Pháp lý: Đang chờ sổ, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Căn hộ chung cư,"Thành phố Thủ Đức, TP.HCM",11235000000.0,6526000000.0,Đang chờ sổ,Còn mới (80-90%),3,Nội thất đầy đủ / Cao cấp,215,13.0,5.1,3,1,1,4,Bắc,Tây Nam,0991768440,chubatdongsan26@gmail.com
"Bán Xưởng diện tích 252m2 chính chủ, vị trí đẹp tại Thành phố Thủ Đức, TP.HCM","Cần bán gấp Xưởng, diện tích 252m2, mặt tiền 7.8m, đường vào rộng 11.4m. Nhà hướng Đông Nam, ban công Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Xưởng,"Thành phố Thủ Đức, TP.HCM",23375000000.0,11725000000.0,Sổ đỏ/Sổ hồng,Mới xây,2,Nội thất cơ bản,252,7.8,11.4,1,2,2,1,Đông Nam,Bắc,0911540710,chubatdongsan27@gmail.com
"Bán Nhà riêng diện tích 151m2 chính chủ, vị trí đẹp tại Quận Nam Từ Liêm, Hà Nội","Cần bán gấp Nhà riêng, diện tích 151m2, mặt tiền 11.0m, đường vào rộng 8.1m. Nhà hướng Đông, ban công Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Cần sửa chữa. Đầy đủ tiện ích xung quanh.",Nhà riêng,"Quận Nam Từ Liêm, Hà Nội",16725000000.0,9244000000.0,Sổ đỏ/Sổ hồng,Cần sửa chữa,2,Không nội thất,151,11.0,8.1,4,1,1,1,Đông,Bắc,0966115525,chubatdongsan28@gmail.com
"Bán Trang trại diện tích 162m2 chính chủ, vị trí đẹp tại TP. Bắc Ninh","Cần bán gấp Trang trại, diện tích 162m2, mặt tiền 5.5m, đường vào rộng 16.9m. Nhà hướng Đông Bắc, ban công Đông Nam. Pháp lý: Giấy tờ viết tay, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Trang trại,TP. Bắc Ninh,18013000000.0,9139000000.0,Giấy tờ viết tay,Mới xây,3,Nội thất cơ bản,162,5.5,16.9,3,1,1,4,Đông Bắc,Đông Nam,0967003676,chubatdongsan29@gmail.com
"Bán Biệt thự diện tích 192m2 chính chủ, vị trí đẹp tại Quận Nam Từ Liêm, Hà Nội","Cần bán gấp Biệt thự, diện tích 192m2, mặt tiền 6.5m, đường vào rộng 9.8m. Nhà hướng Đông Bắc, ban công Đông. Pháp lý: Đang chờ sổ, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Biệt thự,"Quận Nam Từ Liêm, Hà Nội",17896000000.0,10721000000.0,Đang chờ sổ,Còn mới (80-90%),2,Nội thất cơ bản,192,6.5,9.8,2,4,4,3,Đông Bắc,Đông,0966792850,chubatdongsan30@gmail.com
"Bán Kho diện tích 244m2 chính chủ, vị trí đẹp tại Quận Nam Từ Liêm, Hà Nội","Cần bán gấp Kho, diện tích 244m2, mặt tiền 13.8m, đường vào rộng 6.5m. Nhà hướng Đông Nam, ban công Đông Nam. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Kho,"Quận Nam Từ Liêm, Hà Nội",11629000000.0,7082000000.0,Sổ đỏ/Sổ hồng,Mới xây,1,Nội thất cơ bản,244,13.8,6.5,2,2,2,2,Đông Nam,Đông Nam,0914294329,chubatdongsan31@gmail.com
"Bán Nhà riêng diện tích 250m2 chính chủ, vị trí đẹp tại Quận Cầu Giấy, Hà Nội","Cần bán gấp Nhà riêng, diện tích 250m2, mặt tiền 3.2m, đường vào rộng 13.1m. Nhà hướng Tây, ban công Nam. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Nhà riêng,"Quận Cầu Giấy, Hà Nội",12448000000.0,6199000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),1,Nội thất cơ bản,250,3.2,13.1,3,2,2,1,Tây,Nam,0917750981,chubatdongsan32@gmail.com
"Bán Nhà mặt phố diện tích 264m2 chính chủ, vị trí đẹp tại Quận 7, TP.HCM","Cần bán gấp Nhà mặt phố, diện tích 264m2, mặt tiền 4.0m, đường vào rộng 14.7m. Nhà hướng Tây, ban công Tây Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Nhà mặt phố,"Quận 7, TP.HCM",12001000000.0,6793000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),1,Nội thất cơ bản,264,4.0,14.7,1,3,3,2,Tây,Tây Bắc,0989881819,chubatdongsan33@gmail.com
"Bán Nhà riêng diện tích 175m2 chính chủ, vị trí đẹp tại Quận Nam Từ Liêm, Hà Nội","Cần bán gấp Nhà riêng, diện tích 175m2, mặt tiền 5.5m, đường vào rộng 5.0m. Nhà hướng Tây Bắc, ban công Tây Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Nhà riêng,"Quận Nam Từ Liêm, Hà Nội",11405000000.0,7054000000.0,Sổ đỏ/Sổ hồng,Còn mới (80-90%),1,Nội thất cơ bản,175,5.5,5.0,2,4,4,4,Tây Bắc,Tây Bắc,0991697565,chubatdongsan34@gmail.com
"Bán Trang trại diện tích 268m2 chính chủ, vị trí đẹp tại Thành phố Thủ Đức, TP.HCM","Cần bán gấp Trang trại, diện tích 268m2, mặt tiền 3.3m, đường vào rộng 5.0m. Nhà hướng Tây Bắc, ban công Tây. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Trang trại,"Thành phố Thủ Đức, TP.HCM",14229000000.0,9094000000.0,Sổ đỏ/Sổ hồng,Mới xây,2,Nội thất cơ bản,268,3.3,5.0,5,3,3,3,Tây Bắc,Tây,0955154248,chubatdongsan35@gmail.com
"Bán Nhà mặt phố diện tích 105m2 chính chủ, vị trí đẹp tại Quận 7, TP.HCM","Cần bán gấp Nhà mặt phố, diện tích 105m2, mặt tiền 5.2m, đường vào rộng 2.7m. Nhà hướng Đông Bắc, ban công Đông. Pháp lý: Hợp đồng mua bán, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Nhà mặt phố,"Quận 7, TP.HCM",6984000000.0,3962000000.0,Hợp đồng mua bán,Mới xây,2,Không nội thất,105,5.2,2.7,3,4,4,3,Đông Bắc,Đông,0948063840,chubatdongsan36@gmail.com
"Bán Kho diện tích 38m2 chính chủ, vị trí đẹp tại Quận Cầu Giấy, Hà Nội","Cần bán gấp Kho, diện tích 38m2, mặt tiền 10.0m, đường vào rộng 15.3m. Nhà hướng Đông, ban công Đông. Pháp lý: Hợp đồng mua bán, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Kho,"Quận Cầu Giấy, Hà Nội",3291000000.0,2111000000.0,Hợp đồng mua bán,Còn mới (80-90%),3,Nội thất đầy đủ / Cao cấp,38,10.0,15.3,3,2,2,3,Đông,Đông,0977543232,chubatdongsan37@gmail.com
"Bán Trang trại diện tích 103m2 chính chủ, vị trí đẹp tại Quận 7, TP.HCM","Cần bán gấp Trang trại, diện tích 103m2, mặt tiền 8.1m, đường vào rộng 13.9m. Nhà hướng Tây Nam, ban công Tây Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Trung bình. Đầy đủ tiện ích xung quanh.",Trang trại,"Quận 7, TP.HCM",12690000000.0,7247000000.0,Sổ đỏ/Sổ hồng,Trung bình,2,Không nội thất,103,8.1,13.9,2,1,1,4,Tây Nam,Tây Bắc,0921954802,chubatdongsan38@gmail.com
"Bán Chung cư mini diện tích 282m2 chính chủ, vị trí đẹp tại Quận Đống Đa, Hà Nội","Cần bán gấp Chung cư mini, diện tích 282m2, mặt tiền 13.7m, đường vào rộng 10.5m. Nhà hướng Nam, ban công Tây Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Trung bình. Đầy đủ tiện ích xung quanh.",Chung cư mini,"Quận Đống Đa, Hà Nội",26050000000.0,14250000000.0,Sổ đỏ/Sổ hồng,Trung bình,2,Không nội thất,282,13.7,10.5,1,1,1,5,Nam,Tây Bắc,0993479057,chubatdongsan39@gmail.com
"Bán Biệt thự diện tích 259m2 chính chủ, vị trí đẹp tại TP. Bắc Ninh","Cần bán gấp Biệt thự, diện tích 259m2, mặt tiền 12.8m, đường vào rộng 17.2m. Nhà hướng Nam, ban công Đông Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Biệt thự,TP. Bắc Ninh,28661000000.0,17890000000.0,Sổ đỏ/Sổ hồng,Mới xây,2,Nội thất cơ bản,259,12.8,17.2,5,1,1,5,Nam,Đông Bắc,0929611739,chubatdongsan40@gmail.com
"Bán Kho diện tích 36m2 chính chủ, vị trí đẹp tại Quận 7, TP.HCM","Cần bán gấp Kho, diện tích 36m2, mặt tiền 7.1m, đường vào rộng 16.5m. Nhà hướng Tây Bắc, ban công Tây Nam. Pháp lý: Giấy tờ viết tay, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Kho,"Quận 7, TP.HCM",3886000000.0,2191000000.0,Giấy tờ viết tay,Còn mới (80-90%),3,Nội thất cơ bản,36,7.1,16.5,1,1,1,2,Tây Bắc,Tây Nam,0911167498,chubatdongsan41@gmail.com
"Bán Chung cư mini diện tích 203m2 chính chủ, vị trí đẹp tại Quận Nam Từ Liêm, Hà Nội","Cần bán gấp Chung cư mini, diện tích 203m2, mặt tiền 6.1m, đường vào rộng 12.5m. Nhà hướng Đông, ban công Đông Bắc. Pháp lý: Giấy tờ viết tay, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Chung cư mini,"Quận Nam Từ Liêm, Hà Nội",10947000000.0,6133000000.0,Giấy tờ viết tay,Mới xây,1,Nội thất cơ bản,203,6.1,12.5,4,1,1,5,Đông,Đông Bắc,0930568512,chubatdongsan42@gmail.com
"Bán Xưởng diện tích 170m2 chính chủ, vị trí đẹp tại Quận Cầu Giấy, Hà Nội","Cần bán gấp Xưởng, diện tích 170m2, mặt tiền 7.6m, đường vào rộng 17.6m. Nhà hướng Tây Bắc, ban công Đông Bắc. Pháp lý: Sổ đỏ/Sổ hồng, chất lượng Mới xây. Đầy đủ tiện ích xung quanh.",Xưởng,"Quận Cầu Giấy, Hà Nội",17809000000.0,10033000000.0,Sổ đỏ/Sổ hồng,Mới xây,2,Nội thất cơ bản,170,7.6,17.6,4,3,3,5,Tây Bắc,Đông Bắc,0974269156,chubatdongsan43@gmail.com
"Bán Kho diện tích 197m2 chính chủ, vị trí đẹp tại TP. Bắc Ninh","Cần bán gấp Kho, diện tích 197m2, mặt tiền 10.1m, đường vào rộng 5.7m. Nhà hướng Tây Nam, ban công Đông. Pháp lý: Đang chờ sổ, chất lượng Còn mới (80-90%). Đầy đủ tiện ích xung quanh.",Kho,TP. Bắc Ninh,12816000000.0,7997000000.0,Đang chờ sổ,Còn mới (80-90%),3,Nội thất cơ bản,197,10.1,5.7,2,4,4,3,Tây Nam,Đông,0967352128,chubatdongsan44@gmail.com
